Name,Benefits
Essentials Saver,"Includes:

 Unlimited talk and text  
 50GB premium data    1   Legal footnote     
 Unlimited 5G & 4G LTE with 50GB of Premium Data    1   Legal footnote     
 No annual service contract required"
Go5G Next,"Includes:

 Now with Hulu with ads ON US  
 Upgrade-ready every year  
 Watch & tablet lines now just $5/month    3   Legal footnote     
 Apple TV+ ON US"
Go5G Next,"Includes:

 Netflix™ Standard with ads ON US  
 Apple TV+ ON US  
 Now with Hulu with ads ON US  
 Upgrade-ready every year"
Go5G Next First Responder,"Includes:

 Upgrade-ready every year  
 T-Priority ON US  
 Now with Hulu with ads ON US  
 Apple TV+ ON US"
Go5G Next Military,"Includes:

 Upgrade-ready every year  
 Now with Hulu with ads ON US  
 Apple TV+ ON US  
 Netflix™ Standard with ads ON US"
Go5G Next 55,"Includes:

 Upgrade-ready every year  
 Now with Hulu with ads ON US  
 Apple TV+ ON US  
 Netflix™ Standard with ads ON US"
Go5G Plus,"Includes:

 Apple TV+ ON US  
 Netflix™ Standard with ads ON US  
 New and existing customers get the same great phone deals  
 Full-flight texting and Wi-Fi with streaming where available"
Go5G Plus Military,"Includes:

 Apple TV+ ON US  
 Netflix™ Standard with ads ON US  
 50GB high-speed mobile hotspot  
 Taxes & fees included"
Go5G Plus First Responder,"Includes:

 T-Priority ON US  
 Apple TV+ ON US  
 Netflix™ Standard with ads ON US  
 50GB high-speed mobile hotspot data"
Essentials 4 Line Offer,"Includes:

 Unlimited talk and text  
 50GB premium data    1   Legal footnote     
 Unlimited 5G & 4G LTE with 50GB of Premium Data    1   Legal footnote     
 No annual service contract required"
Essentials,"Includes:

 Unlimited talk and text  
 50GB premium data    1   Legal footnote     
 Unlimited 5G & 4G LTE with 50GB of Premium Data    1   Legal footnote     
 No annual service contract required"
Essentials Choice 55,"Includes:

 Unlimited talk and text  
 50GB premium data    1   Legal footnote     
 Unlimited 5G & 4G LTE with 50GB of Premium Data    1   Legal footnote     
 Unlimited 3G mobile hotspot data incl."
Go5G Plus 55,"Includes:

 Apple TV+ ON US  
 Netflix™ Standard with ads ON US  
 50GB high-speed mobile hotspot  
 Taxes & fees included"
Go5G 55,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix on Us not included"
Go5G 55,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix™ Standard with ads ON US"
Go5G,"Includes:

 Apple TV+ ON US for 6 months  
 4 full-flight streaming sessions a year, plus, unlimited in-flight texting & 1 hour of streaming, where available  
 15GB high-speed mobile hotspot data  
 Unlimited talk and text"
Go5G,"Includes:

 4 full-flight streaming sessions a year, plus, unlimited in-flight texting & 1 hour of streaming, where available  
 Apple TV+ ON US for 6 months  
 15GB high-speed mobile hotspot data  
 Netflix™ Standard with ads ON US"
Go5G Military,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix on Us not included"
Go5G Military,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix™ Standard with ads ON US"
Go5G First Responder,"Includes:

 T-Priority ON US  
 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months"
Go5G Puerto Rico,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix on Us not included"
Magenta® MAX,"Includes:

 Taxes & fees included  
 Unlimited premium data    1   Legal footnote     
 Apple TV+ ON US  
 Netflix™ Standard with ads ON US"
Magenta® MAX Military,"Includes:

 Taxes & fees included  
 Unlimited premium data    1   Legal footnote     
 Apple TV+ ON US  
 Netflix™ Standard with ads ON US"
Magenta® MAX First Responder,"Includes:

 T-Priority ON US  
 Taxes & fees included  
 Unlimited premium data    1   Legal footnote     
 Apple TV+ ON US"
Magenta® MAX 55+,"Includes:

 Taxes & fees included  
 Unlimited premium data    1   Legal footnote     
 Apple TV+ ON US  
 Netflix™ Standard with ads ON US"
Magenta®,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix on Us not included"
Magenta®,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix™ Standard with ads ON US"
Magenta® Military,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix on Us not included"
Magenta® Military,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix™ Standard with ads ON US"
Magenta® First Responder,"Includes:

 T-Priority ON US  
 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months"
Magenta® 55+,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix on Us not included"
Magenta® 55+,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix™ Standard with ads ON US"
Essentials 55+,"Includes:

 Unlimited talk and text  
 50GB premium data    1   Legal footnote     
 Unlimited 5G & 4G LTE with 50GB of Premium Data    1   Legal footnote     
 No annual service contract required"
Magenta® Puerto Rico,"Includes:

 Taxes & fees included  
 100GB premium data    1   Legal footnote     
 Apple TV+ ON US for 6 months  
 Netflix on Us not included"
"Simple Choice Family local Unlimited Talk, Text and Data","Includes:

 Taxes & fees not included  
 Netflix on Us not included  
 High-speed mobile hotspot data  
 Unlimited talk and text"
